satellite\anchipura.png,anchipura,55
satellite\banashankari.jpg,banashankari,7
satellite\bannerghatta.jpg,bannerghatta,28
satellite\bannerghatta_np.png,bannerghatta_np,68
satellite\basavanagudi.jpg,basavanagudi,19
satellite\bellandur.jpg,bellandur,43
satellite\chowkahalli.png,chowkahalli,85
satellite\cubbon_park.jpg,cubbon_park,56
satellite\devanahalli.jpg,devanahalli,6
satellite\electronic_city.jpg,electronic_city,17
satellite\guttahalli.jpg,guttahalli,41
satellite\hebbal.jpg,hebbal,10
satellite\iisc.png,iisc,33
satellite\indiranagar.jpg,indiranagar,25
satellite\jayanagar.jpg,jayanagar,18
satellite\jpnagar.jpg,jpnagar,15
satellite\koramangala.jpg,koramangala,25
satellite\kumarakruparoad.jpg,kumarakruparoad,42
satellite\lalbagh.png,lalbagh,60
satellite\majestic.jpg,majestic,2
satellite\malleshwaram.jpg,malleshwaram,14
satellite\nagasandra.jpg,nagasandra,12
satellite\nandi.jpg,nandi,10
satellite\rajajinagar.jpg,rajajinagar,5
satellite\sheshadripuram.jpg,sheshadripuram,13
satellite\thirumalashettyhalli.jpg,thirumalashettyhalli,71
satellite\whitefield.jpg,whitefield,28
satellite\yelahanka.jpg,yelahanka,15
satellite\yeshwantpur.jpg,yeshwantpur,8
